Metro,Year,BP,Jobs
Memphis-MS-AR",2013,3650,9680
Memphis-MS-AR",2014,3154,9060
Miami-Fort Lauderdale-Pompano Beach 3875",2009,2289,16510
Miami-Fort Lauderdale-Pompano Beach 5877",2010,3171,17250
Miami-Fort Lauderdale-Pompano Beach",2011,7532,17180
Miami-Fort Lauderdale-Pompano Beach3261",2012,5089,17170
Miami-Fort Lauderdale-Pompano Beach921",2013,6369,16600
Miami-Fort Lauderdale-West Palm Beach259",2014,5791,17590
Milwaukee-Waukesha-West Allis",2009,1427,21860
Milwaukee-Waukesha-West Allis",2010,1929,23040
Milwaukee-Waukesha-West Allis",2011,1578,22350
Milwaukee-Waukesha-West Allis",2012,1764,23730
Milwaukee-Waukesha-West Allis",2013,1949,23080
Milwaukee-Waukesha-West Allis",2014,2355,24420
Minneapolis-St. Paul-Bloomington 4670",2009,3629,68380
Minneapolis-St. Paul-Bloomington",2010,5726,67130
Minneapolis-St. Paul-Bloomington-WI 5148",2011,3756,67690
Minneapolis-St. Paul-Bloomington",2012,11493,68570
Minneapolis-St. Paul-Bloomington",2013,12033,69360
Minneapolis-St. Paul-Bloomington",2014,11425,75970
Nashville-Davidson--Murfreesboro 4933",2009,3957,15810
Nashville-Davidson--Murfreesboro-Franklin 5092",2010,3938,14540
Nashville-Davidson--Murfreesboro-Franklin 5394",2011,4100,17460
Nashville-Davidson--Murfreesboro-Franklin47",2012,5340,17490
Nashville-Davidson--Murfreesboro--Franklin 10889",2013,7020,19620
Nashville-Davidson--Murfreesboro--Franklin944",2014,9075,20430
New Orleans-Metairie-Kenner",2009,2832,5420
New Orleans-Metairie-Kenner",2010,2171,6330
New Orleans-Metairie-Kenner",2011,2328,6420
New Orleans-Metairie-Kenner",2012,2293,7170
New Orleans-Metairie-Kenner",2013,2616,6470
New Orleans-Metairie",2014,2991,6600
New York-Northern New Jersey-Long Island 16707",2009,6496,148210
New York-Northern New Jersey-Long Island-NJ-PA 18668",2010,7010,146110
New York-Northern New Jersey-LonIsland 21539",2011,6003,153900
New York-Northern New Jersey-Long Island912",2012,6815,158950
New York-Northern New Jersey-Long Island 39824",2013,10139,162730
New York-Newark-Jersey City",2014,47984,169410
Oklahoma City",2009,3452,11610
Oklahoma City",2010,3635,9670
Oklahoma City",2011,3261,10160
Oklahoma City",2012,6577,11550
Oklahoma City",2013,7505,13830
Oklahoma City",2014,7870,14460
Orlando-Kissimmee",2009,4487,25400
Orlando-Kissimmee-Sanford",2010,5254,24500
Orlando-Kissimmee-Sanford",2011,6505,23500
Orlando-Kissimmee-Sanford",2012,12006,26130
Orlando-Kissimmee-Sanford",2013,15563,26540
Orlando-Kissimmee-Sanford",2014,16115,29940
Philadelphia-Camden-Wilmington 7093",2009,4963,56620
Philadelphia-Camden-Wilmington-NJ-DE-MD 7053",2010,5186,55530
Philadelphia-Camden-Wilmington",2011,6979,56350
Philadelphia-Camden-Wilmington",2012,9270,59180
Philadelphia-Camden-Wilmington",2013,11217,62330
Philadelphia-Camden-Wilmington",2014,13631,65170
Phoenix-Mesa-Scottsdale",2009,9272,43960
Phoenix-Mesa-Glendale",2010,8300,45250
Phoenix-Mesa-Glendale",2011,9081,51630
Phoenix-Mesa-Glendale",2012,15967,56250
Phoenix-Mesa-Glendale",2013,18737,59860
Phoenix-Mesa-Scottsdale",2014,20341,66260
Pittsburgh",2009,3033,27360
Pittsburgh",2010,3615,26340
Pittsburgh",2011,2914,29080
Pittsburgh",2012,3466,31690
Pittsburgh",2013,4563,32030
Pittsburgh",2014,4190,32140
Portland-Vancouver-Beaverton-WA 4020",2009,3011,29170
Portland-Vancouver-Hillsboro-WA 4476",2010,3359,28100
Portland-Vancouver-Hillsboro-WA",2011,5213,29420
Portland-Vancouver-Hillsboro-WA",2012,7785,32280
Portland-Vancouver-Hillsboro",2013,11730,35090
Portland-Vancouver-Hillsboro",2014,12356,37340
Raleigh-Cary",2009,4894,21800
Raleigh-Cary",2010,5213,23310
Raleigh-Cary",2011,6366,22880
Raleigh-Cary",2012,12926,26350
Raleigh-Cary",2013,11431,28050
Raleigh",2014,11647,28510
Richmond",2009,3296,20460
Richmond",2010,3456,18780
Richmond",2011,2709,18220
Richmond",2012,4271,19520
Richmond",2013,5005,20460
Richmond",2014,4312,20750
Riverside-San Bernardino-Ontario 6335",2009,4887,13120
Riverside-San Bernardino-Ontario",2010,6336,13020
Riverside-San Bernardino-Ontario",2011,4736,14330
Riverside-San Bernardino-Ontario",2012,5949,14650
Riverside-San Bernardino-Ontario",2013,9348,13760
Riverside-San Bernardino-Ontario 10166",2014,7222,13260
Rochester",2009,570,4940
Rochester",2010,477,4720
Rochester",2011,332,4540
Rochester",2012,526,4860
Rochester",2013,638,5270
Rochester",2014,832,4970
Sacramento--Arden-Arcade--Roseville 2710",2009,2415,27340
Sacramento--Arden-Arcade--Roseville 2702",2010,2166,29100
Sacramento--Arden-Arcade--Roseville",2011,2491,29280
Sacramento--Arden-Arcade--Roseville408",2012,2848,30840
Sacramento--Arden-Arcade--Roseville",2013,4189,30000
Sacramento--Roseville--Arden-Arcade159",2014,3694,30650
Salt Lake City",2009,4692,19960
Salt Lake City",2010,2989,20010
Salt Lake City",2011,3457,20030
Salt Lake City",2012,3904,21190
Salt Lake City",2013,5528,21340
Salt Lake City",2014,5318,22780
San Antonio",2009,5924,18830
San Antonio-New Braunfels",2010,6865,21240
San Antonio-New Braunfels",2011,7127,22210
San Antonio-New Braunfels",2012,8004,24080
San Antonio-New Braunfels",2013,6128,23690
San Antonio-New Braunfels",2014,10332,24860
San Diego-Carlsbad-San Marcos",2009,2946,37740
San Diego-Carlsbad-San Marcos",2010,3494,38590
San Diego-Carlsbad-San Marcos",2011,5370,40240
San Diego-Carlsbad-San Marcos",2012,5666,42600
San Diego-Carlsbad-San Marcos",2013,8264,45660
San Diego-Carlsbad",2014,6875,47430
San Francisco-Oakland-Fremont",2009,3550,51420
San Francisco-Oakland-Fremont",2010,4621,50520
San Francisco-Oakland-Fremont",2011,5783,53160
San Francisco-Oakland-Fremont",2012,9163,63470
San Francisco-Oakland-Fremont",2013,10922,68810
San Francisco-Oakland-Hayward",2014,10001,73500
San Jose-Sunnyvale-Santa Clara",2009,1094,82970
San Jose-Sunnyvale-Santa Clara",2010,4179,84460
San Jose-Sunnyvale-Santa Clara",2011,3097,91870
San Jose-Sunnyvale-Santa Clara",2012,5532,93900
San Jose-Sunnyvale-Santa Clara",2013,7764,97430
San Jose-Sunnyvale-Santa Clara",2014,10037,113340
Seattle-Tacoma-Bellevue",2009,7419,89710
Seattle-Tacoma-Bellevue",2010,10040,86050
Seattle-Tacoma-Bellevue",2011,11230,95880
Seattle-Tacoma-Bellevue",2012,17666,106790
Seattle-Tacoma-Bellevue",2013,19517,115870
Seattle-Tacoma-Bellevue",2014,21953,112180
St. Louis-IL",2009,5162,41530
St. Louis-IL",2010,5660,43200
St. Louis-IL",2011,4407,44500
St. Louis-IL",2012,5489,45320
St. Louis-IL",2013,5548,43150
St. Louis-IL",2014,6992,42660
Tampa-St. Petersburg-Clearwater",2009,6962,28460
Tampa-St. Petersburg-Clearwater",2010,6501,29710
Tampa-St. Petersburg-Clearwater",2011,6342,29920
Tampa-St. Petersburg-Clearwater",2012,10161,34210
Tampa-St. Petersburg-Clearwater",2013,12152,34500
Tampa-St. Petersburg-Clearwater",2014,12386,36420
Virginia Beach-Norfolk-Newport News",2009,5302,19820
Virginia Beach-Norfolk-Newport News-NC",2010,3966,18980
Virginia Beach-Norfolk-Newport News",2011,5559,20080
Virginia Beach-Norfolk-Newport News",2012,383,20530
Virginia Beach-Norfolk-Newport News",2013,377,21520
Virginia Beach-Norfolk-Newport News",2014,5715,21590
Washington-Arlington-Alexandria",2009,12329,172700
Washington-Arlington-Alexandria-VA-MD-WV",2010,13065,174960
Washington-Arlington-Alexandria",2011,19657,183570
Washington-Arlington-Alexandria",2012,22404,191060
Washington-Arlington-Alexandria",2013,24033,189150
Washington-Arlington-Alexandria",2014,24804,184180
